trial_number,response,RT,question,timeSpent,submission_id
2,5,23861,Sensibilität,9.494483333333333,805
3,7,3450,Höflichlichkeit,9.494483333333333,805
4,3,14097,Agressivität,9.494483333333333,805
5,8,4573,Gewissenhaftigkeit,9.494483333333333,805
6,8,3539,Freundlichkeit,9.494483333333333,805
7,8,6782,Selbstsicherheit,9.494483333333333,805
8,7,4658,Vertrauenswürdigkeit,9.494483333333333,805
9,3,3801,Geduld,9.494483333333333,805
10,8,3131,Extrovertiertheit,9.494483333333333,805
1,1,21607,Agressivität,12.568066666666667,815
2,7,8753,Vertrauenswürdigkeit,12.568066666666667,815
3,8,4602,Höflichlichkeit,12.568066666666667,815
4,7,13685,Sensibilität,12.568066666666667,815
5,4,8146,Freundlichkeit,12.568066666666667,815
6,7,12811,Extrovertiertheit,12.568066666666667,815
7,1,2488,Geduld,12.568066666666667,815
8,1,2720,Selbstsicherheit,12.568066666666667,815
9,1,5373,Gewissenhaftigkeit,12.568066666666667,815
10,1,1511,Dominanz,12.568066666666667,815
1,5,12886,Extrovertiertheit,5.160733333333333,823
2,9,4328,Höflichlichkeit,5.160733333333333,823
3,9,2334,Gewissenhaftigkeit,5.160733333333333,823
4,4,27771,Sensibilität,5.160733333333333,823
5,4,6496,Selbstsicherheit,5.160733333333333,823
6,1,4421,Agressivität,5.160733333333333,823
7,3,5999,Freundlichkeit,5.160733333333333,823
8,7,13647,Vertrauenswürdigkeit,5.160733333333333,823
9,2,4868,Geduld,5.160733333333333,823
10,1,2168,Dominanz,5.160733333333333,823
1,4,14019,Selbstsicherheit,41.54708333333333,828
2,1,3741,Agressivität,41.54708333333333,828
3,6,5948,Höflichlichkeit,41.54708333333333,828
4,2,8729,Extrovertiertheit,41.54708333333333,828
5,3,6825,Sensibilität,41.54708333333333,828
6,4,5736,Geduld,41.54708333333333,828
7,2,4619,Vertrauenswürdigkeit,41.54708333333333,828
8,7,4039,Gewissenhaftigkeit,41.54708333333333,828
9,1,2380,Dominanz,41.54708333333333,828
10,3,4020,Freundlichkeit,41.54708333333333,828
1,1,5576,Geduld,7.352116666666666,839
2,1,1503,Extrovertiertheit,7.352116666666666,839
3,1,1336,Agressivität,7.352116666666666,839
4,2,2671,Gewissenhaftigkeit,7.352116666666666,839
5,1,4144,Freundlichkeit,7.352116666666666,839
6,1,1559,Höflichlichkeit,7.352116666666666,839
7,1,5080,Dominanz,7.352116666666666,839
8,1,2223,Sensibilität,7.352116666666666,839
9,1,1368,Selbstsicherheit,7.352116666666666,839
10,1,1022,Vertrauenswürdigkeit,7.352116666666666,839
1,8,25819,Sensibilität,8.401666666666667,842
2,6,5060,Gewissenhaftigkeit,8.401666666666667,842
3,5,2614,Dominanz,8.401666666666667,842
4,5,2295,Agressivität,8.401666666666667,842
5,5,3792,Geduld,8.401666666666667,842
6,5,5168,Vertrauenswürdigkeit,8.401666666666667,842
7,7,3158,Freundlichkeit,8.401666666666667,842
8,5,3558,Selbstsicherheit,8.401666666666667,842
9,9,2950,Extrovertiertheit,8.401666666666667,842
10,7,3147,Höflichlichkeit,8.401666666666667,842
1,7,20417,Höflichlichkeit,13.618366666666667,786
2,3,115572,Sensibilität,13.618366666666667,786
3,2,8998,Geduld,13.618366666666667,786
4,8,4252,Gewissenhaftigkeit,13.618366666666667,786
5,3,6082,Extrovertiertheit,13.618366666666667,786
6,4,6527,Freundlichkeit,13.618366666666667,786
7,2,5605,Selbstsicherheit,13.618366666666667,786
8,3,25598,Vertrauenswürdigkeit,13.618366666666667,786
9,2,5397,Dominanz,13.618366666666667,786
10,4,6706,Agressivität,13.618366666666667,786
1,7,17230,Geduld,12.898933333333334,794
2,2,7745,Dominanz,12.898933333333334,794
3,8,7334,Gewissenhaftigkeit,12.898933333333334,794
4,7,10239,Höflichlichkeit,12.898933333333334,794
5,5,4485,Vertrauenswürdigkeit,12.898933333333334,794
6,5,3492,Sensibilität,12.898933333333334,794
7,1,6003,Agressivität,12.898933333333334,794
8,9,5021,Freundlichkeit,12.898933333333334,794
9,8,8465,Extrovertiertheit,12.898933333333334,794
10,8,23169,Selbstsicherheit,12.898933333333334,794
1,5,19084,Selbstsicherheit,8.2103,795
2,2,4535,Vertrauenswürdigkeit,8.2103,795
3,2,2390,Freundlichkeit,8.2103,795
4,2,3681,Sensibilität,8.2103,795
5,7,5130,Gewissenhaftigkeit,8.2103,795
6,7,6103,Geduld,8.2103,795
7,5,2739,Agressivität,8.2103,795
8,3,6391,Extrovertiertheit,8.2103,795
9,5,12098,Dominanz,8.2103,795
10,7,2357,Höflichlichkeit,8.2103,795
1,9,4137,Freundlichkeit,3.1132666666666666,799
2,9,452,Extrovertiertheit,3.1132666666666666,799
3,9,459,Vertrauenswürdigkeit,3.1132666666666666,799
4,9,462,Höflichlichkeit,3.1132666666666666,799
5,9,615,Dominanz,3.1132666666666666,799
6,9,501,Geduld,3.1132666666666666,799
7,9,451,Selbstsicherheit,3.1132666666666666,799
8,9,374,Gewissenhaftigkeit,3.1132666666666666,799
9,9,474,Sensibilität,3.1132666666666666,799
10,9,369,Agressivität,3.1132666666666666,799
1,9,105546,Freundlichkeit,17.649466666666665,807
2,1,4791,Dominanz,17.649466666666665,807
3,9,7597,Gewissenhaftigkeit,17.649466666666665,807
4,9,19435,Vertrauenswürdigkeit,17.649466666666665,807
5,9,41851,Sensibilität,17.649466666666665,807
6,9,20475,Extrovertiertheit,17.649466666666665,807
7,9,10541,Selbstsicherheit,17.649466666666665,807
8,1,34926,Geduld,17.649466666666665,807
9,1,5330,Agressivität,17.649466666666665,807
10,9,3749,Höflichlichkeit,17.649466666666665,807
1,2,6833,Höflichlichkeit,6.576233333333334,811
2,1,1227,Agressivität,6.576233333333334,811
3,3,2365,Geduld,6.576233333333334,811
4,2,2874,Freundlichkeit,6.576233333333334,811
5,5,1510,Gewissenhaftigkeit,6.576233333333334,811
6,3,2838,Selbstsicherheit,6.576233333333334,811
7,1,1642,Vertrauenswürdigkeit,6.576233333333334,811
8,1,1552,Sensibilität,6.576233333333334,811
9,4,2437,Extrovertiertheit,6.576233333333334,811
10,1,1494,Dominanz,6.576233333333334,811
1,1,11900,Sensibilität,26.098333333333333,816
2,6,7400,Selbstsicherheit,26.098333333333333,816
3,8,4700,Höflichlichkeit,26.098333333333333,816
4,4,11900,Freundlichkeit,26.098333333333333,816
5,1,2700,Dominanz,26.098333333333333,816
6,9,4200,Gewissenhaftigkeit,26.098333333333333,816
7,3,11100,Geduld,26.098333333333333,816
8,9,74100,Extrovertiertheit,26.098333333333333,816
9,5,3900,Vertrauenswürdigkeit,26.098333333333333,816
10,2,4800,Agressivität,26.098333333333333,816
1,5,8534,Selbstsicherheit,8.006083333333333,820
2,3,4836,Extrovertiertheit,8.006083333333333,820
3,1,3020,Dominanz,8.006083333333333,820
4,3,4377,Vertrauenswürdigkeit,8.006083333333333,820
5,9,2841,Gewissenhaftigkeit,8.006083333333333,820
6,1,3127,Agressivität,8.006083333333333,820
7,3,2391,Geduld,8.006083333333333,820
8,1,1873,Freundlichkeit,8.006083333333333,820
9,9,1533,Höflichlichkeit,8.006083333333333,820
10,3,1957,Sensibilität,8.006083333333333,820
1,7,13310,Selbstsicherheit,15.86635,824
2,1,4744,Freundlichkeit,15.86635,824
3,4,7054,Vertrauenswürdigkeit,15.86635,824
4,1,3247,Agressivität,15.86635,824
5,3,8989,Geduld,15.86635,824
6,8,4656,Höflichlichkeit,15.86635,824
7,1,3810,Dominanz,15.86635,824
8,5,5901,Sensibilität,15.86635,824
9,8,4322,Gewissenhaftigkeit,15.86635,824
10,7,7983,Extrovertiertheit,15.86635,824
1,1,3140,Dominanz,6.5371,830
2,6,6761,Gewissenhaftigkeit,6.5371,830
3,6,6652,Freundlichkeit,6.5371,830
4,4,3443,Selbstsicherheit,6.5371,830
5,3,4646,Agressivität,6.5371,830
6,7,2447,Geduld,6.5371,830
7,7,2579,Vertrauenswürdigkeit,6.5371,830
8,4,3646,Sensibilität,6.5371,830
9,9,2361,Höflichlichkeit,6.5371,830
10,3,2388,Extrovertiertheit,6.5371,830
1,6,16727,Sensibilität,12.981783333333333,832
2,6,9908,Vertrauenswürdigkeit,12.981783333333333,832
3,7,5105,Selbstsicherheit,12.981783333333333,832
4,9,11868,Höflichlichkeit,12.981783333333333,832
5,1,4202,Agressivität,12.981783333333333,832
6,2,7906,Extrovertiertheit,12.981783333333333,832
7,4,4294,Geduld,12.981783333333333,832
8,6,128848,Gewissenhaftigkeit,12.981783333333333,832
9,3,9724,Freundlichkeit,12.981783333333333,832
10,3,2999,Dominanz,12.981783333333333,832
1,2,7068,Extrovertiertheit,6.052483333333333,833
2,2,2051,Agressivität,6.052483333333333,833
3,3,2701,Vertrauenswürdigkeit,6.052483333333333,833
4,6,2563,Gewissenhaftigkeit,6.052483333333333,833
5,5,2135,Höflichlichkeit,6.052483333333333,833
6,4,3169,Selbstsicherheit,6.052483333333333,833
7,3,2182,Freundlichkeit,6.052483333333333,833
8,1,2038,Dominanz,6.052483333333333,833
9,1,1106,Sensibilität,6.052483333333333,833
10,3,2870,Geduld,6.052483333333333,833
1,6,57763,Freundlichkeit,9.515966666666667,849
2,8,3264,Extrovertiertheit,9.515966666666667,849
3,3,5723,Agressivität,9.515966666666667,849
4,9,2622,Höflichlichkeit,9.515966666666667,849
5,1,2800,Selbstsicherheit,9.515966666666667,849
6,4,3105,Gewissenhaftigkeit,9.515966666666667,849
7,1,1939,Dominanz,9.515966666666667,849
8,2,2599,Geduld,9.515966666666667,849
9,1,2297,Sensibilität,9.515966666666667,849
10,1,2021,Vertrauenswürdigkeit,9.515966666666667,849
1,7,6927,Sensibilität,6.821883333333333,853
2,8,6431,Extrovertiertheit,6.821883333333333,853
3,9,2408,Selbstsicherheit,6.821883333333333,853
4,5,2199,Vertrauenswürdigkeit,6.821883333333333,853
5,4,2336,Freundlichkeit,6.821883333333333,853
6,1,2312,Dominanz,6.821883333333333,853
7,7,3119,Höflichlichkeit,6.821883333333333,853
8,9,2050,Gewissenhaftigkeit,6.821883333333333,853
9,1,1797,Agressivität,6.821883333333333,853
10,3,2400,Geduld,6.821883333333333,853
1,7,15014,Vertrauenswürdigkeit,10.517483333333333,861
2,6,7986,Geduld,10.517483333333333,861
3,8,3864,Höflichlichkeit,10.517483333333333,861
4,7,5269,Gewissenhaftigkeit,10.517483333333333,861
5,3,5619,Freundlichkeit,10.517483333333333,861
6,1,3854,Agressivität,10.517483333333333,861
7,2,12863,Extrovertiertheit,10.517483333333333,861
8,5,10765,Sensibilität,10.517483333333333,861
9,5,8647,Selbstsicherheit,10.517483333333333,861
10,1,4952,Dominanz,10.517483333333333,861
1,5,23227,Selbstsicherheit,10.278533333333334,871
2,7,5776,Sensibilität,10.278533333333334,871
3,5,9599,Vertrauenswürdigkeit,10.278533333333334,871
4,9,4456,Gewissenhaftigkeit,10.278533333333334,871
5,7,5012,Extrovertiertheit,10.278533333333334,871
6,5,3045,Dominanz,10.278533333333334,871
7,5,3851,Geduld,10.278533333333334,871
8,8,5999,Höflichlichkeit,10.278533333333334,871
9,7,2873,Freundlichkeit,10.278533333333334,871
10,5,6270,Agressivität,10.278533333333334,871
1,7,3325,Selbstsicherheit,2.799933333333333,779
2,7,867,Dominanz,2.799933333333333,779
3,7,543,Gewissenhaftigkeit,2.799933333333333,779
4,7,285,Geduld,2.799933333333333,779
5,7,280,Extrovertiertheit,2.799933333333333,779
6,7,634,Agressivität,2.799933333333333,779
7,7,176,Freundlichkeit,2.799933333333333,779
8,7,728,Vertrauenswürdigkeit,2.799933333333333,779
9,7,487,Sensibilität,2.799933333333333,779
10,7,474,Höflichlichkeit,2.799933333333333,779
1,1,3345,Dominanz,5.99255,782
2,4,5831,Freundlichkeit,5.99255,782
3,5,6066,Extrovertiertheit,5.99255,782
4,1,2694,Selbstsicherheit,5.99255,782
5,8,2752,Geduld,5.99255,782
6,1,2698,Vertrauenswürdigkeit,5.99255,782
7,7,3880,Agressivität,5.99255,782
8,9,2480,Gewissenhaftigkeit,5.99255,782
9,3,2996,Sensibilität,5.99255,782
10,7,2530,Höflichlichkeit,5.99255,782
1,1,8912,Sensibilität,3.9341333333333335,787
2,1,5208,Agressivität,3.9341333333333335,787
3,3,12407,Extrovertiertheit,3.9341333333333335,787
4,1,3281,Vertrauenswürdigkeit,3.9341333333333335,787
5,1,1295,Freundlichkeit,3.9341333333333335,787
6,3,3599,Selbstsicherheit,3.9341333333333335,787
7,1,7952,Höflichlichkeit,3.9341333333333335,787
8,1,5544,Geduld,3.9341333333333335,787
9,3,10176,Gewissenhaftigkeit,3.9341333333333335,787
10,1,1919,Dominanz,3.9341333333333335,787
1,6,1269,Selbstsicherheit,1.6539666666666666,780
2,8,725,Vertrauenswürdigkeit,1.6539666666666666,780
3,5,604,Freundlichkeit,1.6539666666666666,780
4,3,853,Geduld,1.6539666666666666,780
5,8,495,Dominanz,1.6539666666666666,780
6,7,602,Gewissenhaftigkeit,1.6539666666666666,780
7,9,567,Höflichlichkeit,1.6539666666666666,780
8,4,653,Agressivität,1.6539666666666666,780
9,8,670,Sensibilität,1.6539666666666666,780
10,8,721,Extrovertiertheit,1.6539666666666666,780
1,3,8050,Sensibilität,9.3261,788
2,1,6538,Dominanz,9.3261,788
3,8,3577,Gewissenhaftigkeit,9.3261,788
4,8,3799,Extrovertiertheit,9.3261,788
5,3,4890,Selbstsicherheit,9.3261,788
6,4,2770,Vertrauenswürdigkeit,9.3261,788
7,6,3165,Geduld,9.3261,788
8,1,4210,Agressivität,9.3261,788
9,8,7170,Höflichlichkeit,9.3261,788
10,4,3020,Freundlichkeit,9.3261,788
1,6,56388,Geduld,10.392516666666667,796
2,3,10155,Extrovertiertheit,10.392516666666667,796
3,2,4973,Freundlichkeit,10.392516666666667,796
4,7,4456,Dominanz,10.392516666666667,796
5,5,3215,Vertrauenswürdigkeit,10.392516666666667,796
6,5,2323,Agressivität,10.392516666666667,796
7,3,3984,Sensibilität,10.392516666666667,796
8,6,3719,Höflichlichkeit,10.392516666666667,796
9,7,4919,Gewissenhaftigkeit,10.392516666666667,796
10,3,3694,Selbstsicherheit,10.392516666666667,796
1,1,8729,Freundlichkeit,7.283283333333333,800
2,4,10191,Selbstsicherheit,7.283283333333333,800
3,1,2460,Dominanz,7.283283333333333,800
4,1,1793,Sensibilität,7.283283333333333,800
5,5,2489,Gewissenhaftigkeit,7.283283333333333,800
6,6,3623,Höflichlichkeit,7.283283333333333,800
7,1,2213,Vertrauenswürdigkeit,7.283283333333333,800
8,1,1998,Agressivität,7.283283333333333,800
9,3,3547,Geduld,7.283283333333333,800
10,3,2167,Extrovertiertheit,7.283283333333333,800
1,4,6457,Höflichlichkeit,18.550383333333333,801
2,5,9661,Gewissenhaftigkeit,18.550383333333333,801
3,1,2295,Geduld,18.550383333333333,801
4,5,10860,Dominanz,18.550383333333333,801
5,1,4555,Freundlichkeit,18.550383333333333,801
6,1,5010,Agressivität,18.550383333333333,801
7,3,7989,Selbstsicherheit,18.550383333333333,801
8,9,37170,Extrovertiertheit,18.550383333333333,801
9,1,2497,Vertrauenswürdigkeit,18.550383333333333,801
10,2,2254,Sensibilität,18.550383333333333,801
1,3,19119,Vertrauenswürdigkeit,10.120533333333332,804
2,6,13304,Extrovertiertheit,10.120533333333332,804
3,9,6283,Gewissenhaftigkeit,10.120533333333332,804
4,2,6907,Freundlichkeit,10.120533333333332,804
5,7,3749,Höflichlichkeit,10.120533333333332,804
6,1,4821,Agressivität,10.120533333333332,804
7,1,1987,Sensibilität,10.120533333333332,804
8,6,7184,Geduld,10.120533333333332,804
9,3,5109,Selbstsicherheit,10.120533333333332,804
10,2,2273,Dominanz,10.120533333333332,804
1,8,4454,Freundlichkeit,10.023333333333333,809
2,2,4553,Dominanz,10.023333333333333,809
3,9,2916,Geduld,10.023333333333333,809
4,9,3069,Gewissenhaftigkeit,10.023333333333333,809
5,9,5185,Sensibilität,10.023333333333333,809
6,4,5965,Extrovertiertheit,10.023333333333333,809
7,6,4986,Selbstsicherheit,10.023333333333333,809
8,9,4991,Höflichlichkeit,10.023333333333333,809
9,5,2982,Agressivität,10.023333333333333,809
10,7,7970,Vertrauenswürdigkeit,10.023333333333333,809
1,3,18134,Sensibilität,9.601383333333333,810
2,8,6714,Selbstsicherheit,9.601383333333333,810
3,8,8970,Extrovertiertheit,9.601383333333333,810
4,9,5667,Gewissenhaftigkeit,9.601383333333333,810
5,6,5034,Vertrauenswürdigkeit,9.601383333333333,810
6,1,5619,Agressivität,9.601383333333333,810
7,4,4853,Dominanz,9.601383333333333,810
8,9,2660,Höflichlichkeit,9.601383333333333,810
9,3,3683,Freundlichkeit,9.601383333333333,810
10,9,4724,Geduld,9.601383333333333,810
1,2,9159,Agressivität,8.064866666666667,812
2,7,4710,Geduld,8.064866666666667,812
3,5,2512,Freundlichkeit,8.064866666666667,812
4,7,2830,Sensibilität,8.064866666666667,812
5,4,5569,Höflichlichkeit,8.064866666666667,812
6,2,2479,Extrovertiertheit,8.064866666666667,812
7,2,3349,Selbstsicherheit,8.064866666666667,812
8,8,3110,Gewissenhaftigkeit,8.064866666666667,812
9,8,2734,Vertrauenswürdigkeit,8.064866666666667,812
10,2,2263,Dominanz,8.064866666666667,812
1,9,7670,Freundlichkeit,5.85685,813
2,8,1705,Selbstsicherheit,5.85685,813
3,7,2324,Extrovertiertheit,5.85685,813
4,9,2173,Vertrauenswürdigkeit,5.85685,813
5,6,2090,Agressivität,5.85685,813
6,9,1447,Dominanz,5.85685,813
7,8,1491,Höflichlichkeit,5.85685,813
8,9,1569,Gewissenhaftigkeit,5.85685,813
9,9,2109,Geduld,5.85685,813
10,9,1352,Sensibilität,5.85685,813
1,1,6762,Agressivität,6.694683333333334,817
2,1,4957,Sensibilität,6.694683333333334,817
3,7,4177,Gewissenhaftigkeit,6.694683333333334,817
4,7,6002,Höflichlichkeit,6.694683333333334,817
5,1,2187,Dominanz,6.694683333333334,817
6,1,590,Freundlichkeit,6.694683333333334,817
7,3,2852,Selbstsicherheit,6.694683333333334,817
8,5,2159,Extrovertiertheit,6.694683333333334,817
9,2,2106,Vertrauenswürdigkeit,6.694683333333334,817
10,8,6957,Geduld,6.694683333333334,817
1,4,10244,Höflichlichkeit,8.932883333333333,821
2,1,4252,Extrovertiertheit,8.932883333333333,821
3,4,18900,Gewissenhaftigkeit,8.932883333333333,821
4,1,1695,Vertrauenswürdigkeit,8.932883333333333,821
5,2,1702,Sensibilität,8.932883333333333,821
6,4,11546,Selbstsicherheit,8.932883333333333,821
7,8,3246,Agressivität,8.932883333333333,821
8,8,1997,Dominanz,8.932883333333333,821
9,1,1613,Freundlichkeit,8.932883333333333,821
10,1,2172,Geduld,8.932883333333333,821
1,5,11349,Agressivität,5.417383333333333,825
2,5,2674,Vertrauenswürdigkeit,5.417383333333333,825
3,5,2766,Höflichlichkeit,5.417383333333333,825
4,5,3193,Selbstsicherheit,5.417383333333333,825
5,7,2085,Dominanz,5.417383333333333,825
6,8,3493,Geduld,5.417383333333333,825
7,8,2324,Gewissenhaftigkeit,5.417383333333333,825
8,5,3439,Extrovertiertheit,5.417383333333333,825
9,6,3185,Sensibilität,5.417383333333333,825
10,7,1823,Freundlichkeit,5.417383333333333,825
1,7,4245,Gewissenhaftigkeit,8.2265,831
2,1,3118,Sensibilität,8.2265,831
3,6,4877,Höflichlichkeit,8.2265,831
4,4,1987,Geduld,8.2265,831
5,3,3293,Selbstsicherheit,8.2265,831
6,3,2029,Vertrauenswürdigkeit,8.2265,831
7,1,3009,Dominanz,8.2265,831
8,3,1830,Freundlichkeit,8.2265,831
9,2,2041,Agressivität,8.2265,831
10,6,4976,Extrovertiertheit,8.2265,831
1,3,7973,Selbstsicherheit,10.6814,834
2,1,3503,Sensibilität,10.6814,834
3,3,4865,Vertrauenswürdigkeit,10.6814,834
4,8,6059,Höflichlichkeit,10.6814,834
5,7,5241,Extrovertiertheit,10.6814,834
6,2,5423,Geduld,10.6814,834
7,9,4450,Gewissenhaftigkeit,10.6814,834
8,1,4658,Freundlichkeit,10.6814,834
9,1,2516,Agressivität,10.6814,834
10,1,3544,Dominanz,10.6814,834
1,2,10145,Vertrauenswürdigkeit,11.6784,835
2,3,6120,Geduld,11.6784,835
3,2,4890,Agressivität,11.6784,835
4,4,5681,Selbstsicherheit,11.6784,835
5,4,5660,Gewissenhaftigkeit,11.6784,835
6,2,5212,Freundlichkeit,11.6784,835
7,5,5865,Höflichlichkeit,11.6784,835
8,1,6451,Dominanz,11.6784,835
9,2,4648,Sensibilität,11.6784,835
10,6,16558,Extrovertiertheit,11.6784,835
1,1,13967,Sensibilität,15.406916666666667,837
2,4,11115,Vertrauenswürdigkeit,15.406916666666667,837
3,2,11332,Selbstsicherheit,15.406916666666667,837
4,1,4080,Agressivität,15.406916666666667,837
5,5,7775,Extrovertiertheit,15.406916666666667,837
6,1,11456,Dominanz,15.406916666666667,837
7,2,4008,Geduld,15.406916666666667,837
8,2,7284,Freundlichkeit,15.406916666666667,837
9,6,9159,Höflichlichkeit,15.406916666666667,837
10,1,7489,Gewissenhaftigkeit,15.406916666666667,837
1,2,10987,Sensibilität,14.974966666666667,850
2,3,9315,Selbstsicherheit,14.974966666666667,850
3,1,5523,Vertrauenswürdigkeit,14.974966666666667,850
4,4,5483,Agressivität,14.974966666666667,850
5,2,16062,Extrovertiertheit,14.974966666666667,850
6,8,7123,Höflichlichkeit,14.974966666666667,850
7,2,3067,Freundlichkeit,14.974966666666667,850
8,3,4056,Gewissenhaftigkeit,14.974966666666667,850
9,1,2641,Dominanz,14.974966666666667,850
10,4,4496,Geduld,14.974966666666667,850
1,4,9829,Agressivität,8.7362,852
2,3,4275,Sensibilität,8.7362,852
3,8,3445,Geduld,8.7362,852
4,8,3896,Selbstsicherheit,8.7362,852
5,5,3263,Freundlichkeit,8.7362,852
6,9,2618,Höflichlichkeit,8.7362,852
7,7,4014,Vertrauenswürdigkeit,8.7362,852
8,4,4759,Dominanz,8.7362,852
9,3,3229,Extrovertiertheit,8.7362,852
10,7,4047,Gewissenhaftigkeit,8.7362,852
1,9,14710,Freundlichkeit,9.418116666666666,874
2,5,7090,Gewissenhaftigkeit,9.418116666666666,874
3,6,3598,Selbstsicherheit,9.418116666666666,874
4,5,4944,Vertrauenswürdigkeit,9.418116666666666,874
5,1,7945,Dominanz,9.418116666666666,874
6,9,5573,Extrovertiertheit,9.418116666666666,874
7,2,6909,Sensibilität,9.418116666666666,874
8,1,1850,Agressivität,9.418116666666666,874
9,1,2963,Geduld,9.418116666666666,874
10,9,2156,Höflichlichkeit,9.418116666666666,874
1,6,6761,Geduld,14.066083333333333,880
2,1,6112,Sensibilität,14.066083333333333,880
3,1,5137,Vertrauenswürdigkeit,14.066083333333333,880
4,8,4898,Gewissenhaftigkeit,14.066083333333333,880
5,1,7263,Extrovertiertheit,14.066083333333333,880
6,9,4660,Höflichlichkeit,14.066083333333333,880
7,1,3074,Agressivität,14.066083333333333,880
8,1,3974,Freundlichkeit,14.066083333333333,880
9,1,2082,Dominanz,14.066083333333333,880
10,1,5712,Selbstsicherheit,14.066083333333333,880
1,7,9217,Selbstsicherheit,11.50715,884
2,6,5193,Gewissenhaftigkeit,11.50715,884
3,1,4310,Sensibilität,11.50715,884
4,3,2180,Freundlichkeit,11.50715,884
5,5,2692,Höflichlichkeit,11.50715,884
6,3,2444,Extrovertiertheit,11.50715,884
7,2,5087,Geduld,11.50715,884
8,1,1659,Agressivität,11.50715,884
9,1,1365,Dominanz,11.50715,884
10,2,4026,Vertrauenswürdigkeit,11.50715,884
1,9,6539,Extrovertiertheit,3.2836333333333334,886
2,6,3604,Gewissenhaftigkeit,3.2836333333333334,886
3,9,2051,Agressivität,3.2836333333333334,886
4,9,1978,Dominanz,3.2836333333333334,886
5,9,2263,Freundlichkeit,3.2836333333333334,886
6,1,2260,Höflichlichkeit,3.2836333333333334,886
7,1,3701,Sensibilität,3.2836333333333334,886
8,6,2805,Vertrauenswürdigkeit,3.2836333333333334,886
9,5,2717,Selbstsicherheit,3.2836333333333334,886
10,6,4270,Geduld,3.2836333333333334,886
1,3,21047,Agressivität,288.2631333333333,915
2,1,16869,Freundlichkeit,288.2631333333333,915
3,1,4281,Sensibilität,288.2631333333333,915
4,6,5275,Extrovertiertheit,288.2631333333333,915
5,6,4532,Höflichlichkeit,288.2631333333333,915
6,3,3072,Selbstsicherheit,288.2631333333333,915
7,7,3148,Gewissenhaftigkeit,288.2631333333333,915
8,3,4600,Vertrauenswürdigkeit,288.2631333333333,915
9,1,2919,Geduld,288.2631333333333,915
10,2,2106,Dominanz,288.2631333333333,915
1,2,10210,Freundlichkeit,14.020366666666666,784
2,3,8160,Selbstsicherheit,14.020366666666666,784
3,1,2578,Dominanz,14.020366666666666,784
4,7,11794,Extrovertiertheit,14.020366666666666,784
5,2,3490,Geduld,14.020366666666666,784
6,2,4227,Vertrauenswürdigkeit,14.020366666666666,784
7,8,7218,Gewissenhaftigkeit,14.020366666666666,784
8,7,18923,Höflichlichkeit,14.020366666666666,784
9,2,3854,Sensibilität,14.020366666666666,784
10,2,1958,Agressivität,14.020366666666666,784
1,1,15174,Agressivität,19.498583333333332,789
2,4,17921,Höflichlichkeit,19.498583333333332,789
3,1,26920,Extrovertiertheit,19.498583333333332,789
4,2,6253,Vertrauenswürdigkeit,19.498583333333332,789
5,1,5213,Sensibilität,19.498583333333332,789
6,2,27321,Gewissenhaftigkeit,19.498583333333332,789
7,3,8388,Freundlichkeit,19.498583333333332,789
8,1,18522,Geduld,19.498583333333332,789
9,1,3383,Dominanz,19.498583333333332,789
10,4,16835,Selbstsicherheit,19.498583333333332,789
1,7,11668,Gewissenhaftigkeit,7.145466666666667,791
