ResponseID,Cond,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Stim->,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,Race,Age,Gender
R_ZsO52niFteJ7jqx,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,WHITE,62,MALE
R_9uEzb7J9K8shL5D,humanlike,1,7,7,7,7,7,7,7,5,6,6,7,7,7,5,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,4,6,7,7,5,7,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,6,7,1,6,7,7,6,7,7,7,6,6,7,7,7,7,6,6,7,7,7,7,7,5,7,7,6,7,7,7,7,7,7,7,5,7,7,7,7,6,7,7,7,5,7,6,7,7,5,5,5,6,5,6,7,7,7,7,7,7,7,4,6,7,7,5,6,6,7,7,5,7,7,7,7,white,24,female
R_1GIhuWkGDcrG7QF,humanlike,1,3,4,4,4,5,3,5,3,4,5,3,3,2,2,3,3,3,4,4,4,3,3,4,4,5,5,4,3,3,4,5,3,4,4,4,5,2,3,3,5,2,3,3,2,4,3,3,6,3,5,4,3,3,4,5,2,4,4,3,4,6,3,5,3,3,2,2,5,5,4,2,3,1,4,5,6,6,5,6,6,5,4,4,5,4,5,5,5,5,4,3,5,5,2,3,4,5,5,5,3,5,6,4,5,5,5,4,3,3,5,3,3,4,4,4,5,5,5,4,3,4,2,3,2,2,2,1,4,7,5,5,4,3,5,6,2,4,2,5,2,6,5,5,5,3,white,36,female
R_2xEpfjvdADs5Tpp,humanlike,1,7,7,6,6,7,7,6,7,5,6,6,7,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,5,6,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,6,7,7,6,6,6,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,6,6,7,6,6,6,7,7,7,6,7,white,29,Female
R_vHqWB2Dnqub251v,humanlike,1,4,6,4,5,5,6,6,5,4,4,6,5,4,4,5,6,5,5,5,6,5,6,5,5,6,7,6,4,6,5,5,5,5,6,5,6,4,4,5,7,5,6,5,7,5,5,5,5,5,5,5,5,5,5,5,4,6,5,6,6,7,6,5,5,4,5,6,5,6,6,5,5,1,6,5,5,5,6,5,5,6,4,5,6,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,5,5,5,5,4,5,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,5,4,6,6,5,5,6,5,5,5,4,5,6,5,6,6,5,5,Caucasian,33,Male
R_3MMrj3IrL8KKgNH,humanlike,1,6,5,6,6,6,6,5,5,5,6,6,6,6,6,6,6,6,5,6,5,5,6,5,6,5,6,6,6,6,4,6,4,6,6,5,5,7,6,6,7,7,7,7,7,6,6,7,6,6,6,6,6,6,6,5,6,7,5,6,7,6,6,6,6,6,5,5,5,6,5,6,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,7,6,6,6,6,6,7,6,6,5,6,5,6,6,6,6,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,6,6,6,6,6,7,6,6,6,6,6,6,6,Asian,27,Male
R_3FPuyvDbOcZfeTi,humanlike,1,3,5,3,4,3,3,4,2,2,3,3,3,3,3,4,3,3,3,4,6,5,5,4,4,3,4,5,4,5,4,5,5,5,5,4,3,5,3,5,5,4,6,5,5,4,5,5,3,5,3,5,3,3,5,5,5,4,5,3,6,6,5,4,6,3,5,4,4,5,3,4,3,1,5,3,4,4,5,5,3,3,3,5,5,5,6,4,4,5,3,5,5,5,3,4,4,4,3,3,3,4,3,4,3,3,3,5,3,5,4,4,6,6,3,4,5,5,5,5,4,5,6,4,4,4,4,5,4,5,4,5,3,3,7,3,2,6,3,4,5,4,4,3,3,3,white,42,male
R_1jTBsoLeyubgSQ4,humanlike,1,7,7,6,7,7,7,7,6,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,7,6,7,6,7,7,7,6,7,7,7,7,7,7,6,6,7,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,white,26,m
R_1gFRS40lbuuWVp3,humanlike,1,6,7,6,7,7,7,7,7,7,6,7,6,7,7,6,6,6,7,7,7,6,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,7,6,7,6,7,7,6,7,7,6,6,7,6,6,7,7,6,7,6,7,6,7,6,7,7,7,1,7,7,6,7,6,7,7,6,6,7,6,7,6,6,7,7,6,6,6,6,6,6,6,7,7,6,7,7,7,7,6,7,7,6,7,6,7,7,6,6,6,7,6,7,7,6,6,7,7,7,6,7,7,6,7,6,7,6,6,6,6,7,6,7,7,6,6,6,6,7,7,6,white,33,male
R_3qJqYT65q2jLVo6,humanlike,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,6,6,6,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,caucasian,33,female
R_3MurXkiLLrj3HXr,humanlike,1,4,5,5,5,6,7,4,6,5,4,4,6,6,6,7,6,5,6,5,5,5,5,6,6,5,6,7,4,5,6,5,6,6,6,5,6,4,6,6,7,4,6,6,4,6,5,4,7,4,5,5,5,6,6,4,4,6,6,6,6,7,6,5,6,4,6,4,6,6,6,5,5,1,5,5,5,5,5,5,4,5,4,4,4,5,4,4,5,4,4,4,4,7,4,6,7,5,5,4,4,4,3,5,5,4,6,4,6,6,4,3,3,3,3,3,3,3,3,3,3,5,3,4,4,4,3,3,4,4,7,4,6,4,6,6,4,7,4,4,5,5,7,5,4,4,White,36,Female
R_yJeMwjJGCJnmamR,humanlike,1,5,5,4,5,4,5,5,4,5,4,4,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,4,5,5,4,5,4,5,5,5,5,5,5,5,4,4,4,5,5,4,5,4,5,5,5,4,4,4,5,4,5,4,5,4,5,4,4,4,5,1,5,5,4,4,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,3,4,4,4,4,4,4,4,4,3,5,5,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,5,AFRICAN AMERICAN,22,MALE
R_2S5XOi9MXNDuIDq,humanlike,1,6,6,6,6,5,6,5,5,5,4,4,6,6,3,6,6,6,6,6,6,2,6,4,6,6,6,6,5,6,5,6,5,6,6,6,5,3,4,5,6,3,5,4,5,6,5,6,3,6,5,4,6,6,5,5,3,6,5,4,5,6,5,5,6,5,4,4,5,6,5,3,2,1,6,6,6,6,6,6,5,6,6,6,6,6,6,3,6,6,6,5,6,5,4,6,4,5,6,5,6,6,6,5,5,5,5,6,5,6,4,3,5,5,3,4,4,3,6,5,6,4,5,6,6,6,6,6,5,6,6,5,5,6,4,6,7,5,5,4,5,6,5,5,6,7,White,33,Male
R_8fgBWH5fb07ZtkZ,humanlike,1,5,5,5,4,6,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,4,5,5,4,5,5,5,4,4,5,5,5,5,5,6,5,4,6,5,5,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,4,5,5,4,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,White,25,Male
R_C7w6VzPwxc7Lt4J,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,HISPANIC,37,FEMALE
R_szY4HfLNAsz5Xup,humanlike,1,5,3,3,5,4,5,3,3,6,5,5,4,3,5,4,5,5,5,3,4,3,6,3,3,4,3,4,5,3,4,4,5,4,3,4,5,4,4,4,4,5,4,4,5,4,5,3,5,4,5,3,6,4,5,5,3,4,4,4,5,4,6,3,5,4,4,5,5,5,4,5,5,1,4,5,5,3,4,6,4,5,3,4,5,4,5,3,5,4,6,4,5,4,4,5,3,4,5,5,5,4,5,3,4,3,5,5,5,5,5,4,5,4,5,3,4,5,4,6,4,5,4,4,6,5,3,5,4,3,4,4,4,6,3,4,3,6,4,4,3,5,4,6,3,5,white,24,female
R_tGIqfvJqm7fzJSh,humanlike,1,5,4,5,5,4,5,6,3,4,4,4,5,5,4,6,5,4,4,6,5,3,4,4,4,5,5,6,4,6,4,4,4,6,4,3,6,2,4,4,5,3,4,4,4,4,5,3,5,5,5,5,4,5,2,4,4,5,6,5,4,5,4,6,6,5,5,3,5,5,5,3,3,1,5,4,6,6,5,4,5,3,3,4,5,5,4,5,5,6,4,3,5,5,3,5,3,5,6,6,6,3,5,5,3,5,6,5,3,4,3,4,4,4,3,3,3,3,6,4,4,3,3,3,3,4,5,5,5,5,5,4,4,3,4,4,4,4,4,5,4,6,3,4,4,5,Caucasian,22,Male
R_290xoyd1FVb44N4,humanlike,1,7,7,7,7,7,7,7,6,6,7,6,7,7,5,7,6,7,7,4,7,5,6,4,5,7,6,7,4,6,5,4,5,6,6,5,5,6,6,7,7,6,7,7,7,7,6,7,7,7,5,7,6,6,6,4,6,6,5,5,5,7,6,5,7,5,5,5,6,5,6,5,5,1,7,7,7,7,7,7,6,7,6,7,7,7,7,6,7,6,7,7,7,7,6,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,7,6,7,6,5,6,7,7,7,7,7,7,5,6,7,6,6,7,7,7,7,6,7,7,7,7,7,6,7,7,7,6,5,7,6,white,42,male
R_1otjG2QZTm8vEqd,humanlike,1,5,7,6,7,7,5,7,5,6,7,7,7,7,5,7,7,5,5,4,7,5,6,5,7,5,6,7,5,7,5,5,5,5,7,6,5,6,7,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,6,7,7,6,6,7,7,7,7,3,6,5,7,7,5,5,7,1,5,5,5,5,5,5,5,4,4,4,5,7,5,4,6,4,5,6,7,7,6,7,6,7,7,7,7,6,7,5,7,7,7,7,7,7,7,5,6,4,6,7,6,7,6,6,7,7,6,4,4,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,good.,30,male
R_2U4v1KwsuAlp46C,humanlike,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Caucasian,32,Female
R_1Cga1wV9QlAoOQw,humanlike,1,7,6,7,6,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,6,7,7,7,7,6,6,6,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,6,7,7,6,7,7,6,6,6,7,7,7,7,7,7,7,6,6,6,6,7,7,7,6,6,7,6,6,5,7,6,6,7,7,6,6,7,7,6,7,7,7,7,7,7,6,7,7,6,6,black,27,female
R_3LcMeb3z68AGyPu,humanlike,1,7,7,7,7,6,7,7,4,5,7,7,7,7,5,7,7,5,7,5,7,6,7,5,5,7,6,7,7,7,6,7,7,7,7,5,7,6,5,7,7,7,7,6,7,7,6,7,7,7,6,7,7,7,7,7,5,7,7,7,7,7,7,5,7,6,6,5,7,7,5,6,6,1,6,5,6,6,6,6,6,7,5,7,6,7,7,7,5,7,5,6,6,7,4,5,6,5,7,7,6,4,7,6,5,4,6,7,6,6,7,6,6,7,7,7,6,7,7,7,7,7,7,4,7,6,4,5,7,6,7,7,6,5,7,6,5,7,6,7,6,7,6,7,5,7,White,33,Male
